symbol,side,signal_time,entry_time,exit_time,signal_i,entry_i,exit_i,entry_price,exit_price,stop_loss,take_profit,exit_reason,gross_return_pct,net_return_pct,bars_held
1MBABYDOGE,long,2024-09-18 17:05:00+00:00,2024-09-18 17:10:00+00:00,2024-09-18 17:30:00+00:00,534,535,539,0.0022026,0.0023525992784802475,0.002128350360759876,0.0023525992784802475,take_profit,6.810100720977363,6.730100720977364,5
1MBABYDOGE,long,2024-09-18 19:00:00+00:00,2024-09-18 19:05:00+00:00,2024-09-19 01:00:00+00:00,557,558,629,0.0022155,0.0021076947694307316,0.0021076947694307316,0.0024308104611385373,stop,-4.865954889156776,-4.945954889156776,72
1MBABYDOGE,short,2024-09-19 14:20:00+00:00,2024-09-19 14:25:00+00:00,2024-09-19 14:35:00+00:00,789,790,792,0.0021274,0.002162279595379166,0.002162279595379166,0.002057040809241668,stop,-1.6130936745508917,-1.6930936745508915,3
1MBABYDOGE,long,2024-09-19 19:15:00+00:00,2024-09-19 19:20:00+00:00,2024-09-19 19:55:00+00:00,848,849,856,0.0022003,0.0021513370245989714,0.0021513370245989714,0.002297625950802057,stop,-2.225286342818189,-2.305286342818189,8
1MBABYDOGE,long,2024-09-20 14:25:00+00:00,2024-09-20 14:30:00+00:00,2024-09-20 15:05:00+00:00,1078,1079,1086,0.0023339,0.002386671360244787,0.0023070643198776063,0.002386671360244787,take_profit,2.261080605201049,2.181080605201049,8
1MBABYDOGE,long,2024-09-20 16:00:00+00:00,2024-09-20 16:05:00+00:00,2024-09-20 16:25:00+00:00,1097,1098,1102,0.0023383,0.002282775659328379,0.002282775659328379,0.002450848681343241,stop,-2.374560179259333,-2.454560179259333,5
1MBABYDOGE,short,2024-09-20 16:40:00+00:00,2024-09-20 16:45:00+00:00,2024-09-20 18:50:00+00:00,1105,1106,1131,0.0022867,0.0022099367037380835,0.0023222316481309583,0.0022099367037380835,take_profit,3.4735518049938907,3.3935518049938906,26
1MBABYDOGE,short,2024-09-22 14:10:00+00:00,2024-09-22 14:15:00+00:00,2024-09-22 14:25:00+00:00,1651,1652,1654,0.0019106,0.0019214400421838614,0.0019214400421838614,0.0018892199156322772,stop,-0.564162396217216,-0.644162396217216,3
1MBABYDOGE,long,2024-09-22 14:40:00+00:00,2024-09-22 14:45:00+00:00,2024-09-22 15:00:00+00:00,1657,1658,1661,0.0019394,0.0019221858287186034,0.0019221858287186034,0.001973828342562793,stop,-0.8876029329378476,-0.9676029329378477,4
1MBABYDOGE,short,2024-09-22 15:30:00+00:00,2024-09-22 15:35:00+00:00,2024-09-22 17:05:00+00:00,1667,1668,1686,0.0019074,0.0019253963862624736,0.0019253963862624736,0.0018732072274750527,stop,-0.9346847428859939,-1.014684742885994,19
1MBABYDOGE,long,2024-09-23 14:15:00+00:00,2024-09-23 14:20:00+00:00,2024-09-23 15:55:00+00:00,1940,1941,1960,0.0021534,0.0020935114781053866,0.0020935114781053866,0.0022752770437892266,stop,-2.7811146045608637,-2.8611146045608638,20
1MBABYDOGE,short,2024-09-25 15:10:00+00:00,2024-09-25 15:15:00+00:00,2024-09-25 18:55:00+00:00,2527,2528,2572,0.0019636,0.0019305140174728456,0.001980442991263577,0.0019305140174728456,take_profit,1.7138431644472485,1.6338431644472486,45
1MBABYDOGE,long,2024-09-27 15:15:00+00:00,2024-09-27 15:20:00+00:00,2024-09-27 15:35:00+00:00,3104,3105,3108,0.0023177,0.002275815473327381,0.002275815473327381,0.0024011690533452383,stop,-1.807159109143508,-1.8871591091435078,4
1MBABYDOGE,long,2024-09-27 17:40:00+00:00,2024-09-27 17:45:00+00:00,2024-09-27 19:05:00+00:00,3133,3134,3150,0.0023505,0.0022726483679426234,0.0022726483679426234,0.0025056032641147534,stop,-3.3121306980377296,-3.3921306980377297,17
1MBABYDOGE,short,2024-09-27 19:15:00+00:00,2024-09-27 19:20:00+00:00,2024-09-27 22:20:00+00:00,3152,3153,3189,0.0022612,0.0022948781115065837,0.0022948781115065837,0.0021932437769868326,stop,-1.467533780453112,-1.547533780453112,37
1MBABYDOGE,long,2024-09-28 14:05:00+00:00,2024-09-28 14:10:00+00:00,2024-09-28 14:30:00+00:00,3378,3379,3383,0.0023717,0.002351166643302552,0.002351166643302552,0.002412466713394897,stop,-0.8657653454251402,-0.9457653454251402,5
1MBABYDOGE,long,2024-09-28 15:55:00+00:00,2024-09-28 16:00:00+00:00,2024-09-28 16:30:00+00:00,3400,3401,3407,0.0023802,0.002339063126119891,0.002339063126119891,0.0024630737477602175,stop,-1.728294844135314,-1.808294844135314,7
1MBABYDOGE,short,2024-09-28 16:45:00+00:00,2024-09-28 16:50:00+00:00,2024-09-29 00:20:00+00:00,3410,3411,3501,0.0023208,0.0023769747891402727,0.0023769747891402727,0.0022102504217194545,stop,-2.3632892278420248,-2.443289227842025,91
1MBABYDOGE,short,2024-09-29 14:30:00+00:00,2024-09-29 14:35:00+00:00,2024-09-29 21:55:00+00:00,3671,3672,3760,0.0025253,0.0024379435886007095,0.0025688282056996452,0.0024379435886007095,take_profit,3.5832006863386834,3.5032006863386833,89
1MBABYDOGE,short,2024-09-30 14:40:00+00:00,2024-09-30 14:45:00+00:00,2024-09-30 18:55:00+00:00,3961,3962,4012,0.002384,0.002331976691549527,0.0024101616542252366,0.002331976691549527,take_profit,2.230867428434924,2.150867428434924,51
1MBABYDOGE,long,2024-10-01 16:55:00+00:00,2024-10-01 17:00:00+00:00,2024-10-01 17:20:00+00:00,4276,4277,4281,0.0024017,0.0023680516965000798,0.0023680516965000798,0.002469596606999841,stop,-1.4010202564816776,-1.4810202564816777,5
1MBABYDOGE,long,2024-10-02 14:05:00+00:00,2024-10-02 14:10:00+00:00,2024-10-02 14:25:00+00:00,4530,4531,4534,0.0020369,0.0020187180071949903,0.0020187180071949903,0.002072363985610019,stop,-0.8926306055775712,-0.9726306055775713,4
1MBABYDOGE,short,2024-10-02 14:50:00+00:00,2024-10-02 14:55:00+00:00,2024-10-02 15:30:00+00:00,4539,4540,4547,0.0020062,0.0020204477209269994,0.0020204477209269994,0.001977104558146001,stop,-0.7051764210193157,-0.7851764210193157,8
1MBABYDOGE,long,2024-10-02 15:40:00+00:00,2024-10-02 15:45:00+00:00,2024-10-02 16:35:00+00:00,4549,4550,4560,0.0020336,0.002063402732360061,0.00201854863381997,0.002063402732360061,take_profit,1.4655159500423398,1.3855159500423397,11
1MBABYDOGE,short,2024-10-02 18:25:00+00:00,2024-10-02 18:30:00+00:00,2024-10-02 19:55:00+00:00,4582,4583,4600,0.0020068,0.0019685695847253197,0.00202591520763734,0.0019685695847253197,take_profit,1.9420403307721879,1.862040330772188,18
1MBABYDOGE,short,2024-10-03 14:35:00+00:00,2024-10-03 14:40:00+00:00,2024-10-03 15:10:00+00:00,4824,4825,4831,0.0018829,0.0019039450758958272,0.0019039450758958272,0.001840809848208346,stop,-1.1053404933923927,-1.1853404933923928,7
1MBABYDOGE,long,2024-10-03 15:40:00+00:00,2024-10-03 15:45:00+00:00,2024-10-03 16:15:00+00:00,4837,4838,4844,0.0019172,0.0018978371138003568,0.0018978371138003568,0.0019562257723992867,stop,-1.0099565094743967,-1.0899565094743968,7
1MBABYDOGE,short,2024-10-03 16:40:00+00:00,2024-10-03 16:45:00+00:00,2024-10-03 17:15:00+00:00,4849,4850,4856,0.0018837,0.0018274908821655572,0.0019119545589172213,0.0018274908821655572,take_profit,3.0757536676645714,2.9957536676645713,7
1MBABYDOGE,long,2024-10-04 16:50:00+00:00,2024-10-04 16:55:00+00:00,2024-10-04 17:20:00+00:00,5139,5140,5145,0.0018573,0.0018959067188431867,0.0018378466405784067,0.0018959067188431867,take_profit,2.0786474367730845,1.9986474367730847,6
1MBABYDOGE,long,2024-10-05 14:30:00+00:00,2024-10-05 14:35:00+00:00,2024-10-05 14:55:00+00:00,5399,5400,5404,0.0019704,0.001995915636629719,0.0019580921816851407,0.001995915636629719,take_profit,1.2949470477932712,1.2149470477932711,5
1MBABYDOGE,long,2024-10-05 16:00:00+00:00,2024-10-05 16:05:00+00:00,2024-10-05 16:20:00+00:00,5417,5418,5421,0.001969,0.0019593508144050533,0.0019593508144050533,0.001988298371189893,stop,-0.4900551343294368,-0.5700551343294369,4
1MBABYDOGE,long,2024-10-05 17:00:00+00:00,2024-10-05 17:05:00+00:00,2024-10-05 18:50:00+00:00,5429,5430,5451,0.0019694,0.001953809851707533,0.001953809851707533,0.0020011802965849345,stop,-0.7916191882028523,-0.8716191882028523,22
1MBABYDOGE,short,2024-10-05 19:20:00+00:00,2024-10-05 19:25:00+00:00,2024-10-05 22:10:00+00:00,5457,5458,5491,0.0019462,0.0019627418987683103,0.0019627418987683103,0.0019131162024633793,stop,-0.8427954168956697,-0.9227954168956698,34
1MBABYDOGE,long,2024-10-07 15:15:00+00:00,2024-10-07 15:20:00+00:00,2024-10-07 18:15:00+00:00,5984,5985,6020,0.0021756,0.0021369290641701736,0.0021369290641701736,0.0022529418716596534,stop,-1.7774837208046734,-1.8574837208046733,36
1MBABYDOGE,short,2024-10-07 19:10:00+00:00,2024-10-07 19:15:00+00:00,2024-10-07 21:25:00+00:00,6031,6032,6058,0.0021085,0.002138711169976044,0.002138711169976044,0.002047177660047913,stop,-1.4125876556011163,-1.4925876556011164,27
1MBABYDOGE,short,2024-10-08 14:05:00+00:00,2024-10-08 14:10:00+00:00,2024-10-08 19:45:00+00:00,6258,6259,6326,0.0022115,0.002262284899581611,0.002262284899581611,0.0021096302008367786,stop,-2.244849867980958,-2.324849867980958,68
1MBABYDOGE,long,2024-10-09 14:20:00+00:00,2024-10-09 14:25:00+00:00,2024-10-09 17:10:00+00:00,6549,6550,6583,0.0025462,0.0027230184829042,0.0024577907585479003,0.0027230184829042,take_profit,6.944406680708504,6.8644066807085045,34
1MBABYDOGE,long,2024-10-10 14:45:00+00:00,2024-10-10 14:50:00+00:00,2024-10-10 17:05:00+00:00,6842,6843,6870,0.002898,0.002820217939292311,0.002820217939292311,0.0030526641214153783,stop,-2.6839910527152844,-2.7639910527152844,28
1MBABYDOGE,short,2024-10-11 14:40:00+00:00,2024-10-11 14:45:00+00:00,2024-10-11 15:25:00+00:00,7129,7130,7138,0.0027279,0.002793884025085488,0.002793884025085488,0.0025944319498290244,stop,-2.3617309986039503,-2.4417309986039504,9
1MBABYDOGE,long,2024-10-13 14:05:00+00:00,2024-10-13 14:10:00+00:00,2024-10-13 14:55:00+00:00,7698,7699,7708,0.0032173,0.0031480695947412644,0.0031480695947412644,0.0033566608105174717,stop,-2.151816904197179,-2.231816904197179,10
1MBABYDOGE,short,2024-10-13 15:10:00+00:00,2024-10-13 15:15:00+00:00,2024-10-13 19:50:00+00:00,7711,7712,7767,0.0031109,0.003029055678901416,0.0031513721605492917,0.003029055678901416,take_profit,2.7019747992307552,2.621974799230755,56
1MBABYDOGE,short,2024-10-14 14:05:00+00:00,2024-10-14 14:10:00+00:00,2024-10-14 22:40:00+00:00,7986,7987,8089,0.0030006,0.003062892416000266,0.003062892416000266,0.0028769151679994675,stop,-2.033777473699583,-2.113777473699583,103
1MBABYDOGE,short,2024-10-15 14:05:00+00:00,2024-10-15 14:10:00+00:00,2024-10-15 14:40:00+00:00,8274,8275,8281,0.0031886,0.0031280341488058795,0.00321828292559706,0.0031280341488058795,take_profit,1.9362273016501952,1.8562273016501953,7
1MBABYDOGE,short,2024-10-15 16:10:00+00:00,2024-10-15 16:15:00+00:00,2024-10-15 17:05:00+00:00,8299,8300,8310,0.0031776,0.0032167450886637153,0.0032167450886637153,0.003101409822672569,stop,-1.2169160932791412,-1.2969160932791413,11
1MBABYDOGE,short,2024-10-15 17:25:00+00:00,2024-10-15 17:30:00+00:00,2024-10-15 18:00:00+00:00,8314,8315,8321,0.0031941,0.0031038479677160755,0.0032383260161419625,0.0031038479677160755,take_profit,2.907746552751922,2.827746552751922,7
1MBABYDOGE,short,2024-10-15 18:50:00+00:00,2024-10-15 18:55:00+00:00,2024-10-15 20:10:00+00:00,8331,8332,8347,0.0031813,0.0030879405524691637,0.0032284297237654184,0.0030879405524691637,take_profit,3.0233563744025194,2.9433563744025193,16
1MBABYDOGE,short,2024-10-16 15:25:00+00:00,2024-10-16 15:30:00+00:00,2024-10-16 19:00:00+00:00,8578,8579,8621,0.0029236,0.0029785607322481084,0.0029785607322481084,0.0028136785355037837,stop,-1.8452110663067067,-1.9252110663067066,43
1MBABYDOGE,short,2024-10-16 19:30:00+00:00,2024-10-16 19:35:00+00:00,2024-10-16 19:55:00+00:00,8627,8628,8632,0.0029281,0.00297395981001614,0.00297395981001614,0.00283608037996772,stop,-1.542045385471813,-1.6220453854718129,5
1MBABYDOGE,long,2024-10-17 14:20:00+00:00,2024-10-17 14:25:00+00:00,2024-10-17 14:50:00+00:00,8853,8854,8859,0.0029204,0.0028688323944616595,0.0028688323944616595,0.0030226352110766814,stop,-1.7657720017237533,-1.845772001723753,6
1MBABYDOGE,short,2024-10-17 14:55:00+00:00,2024-10-17 15:00:00+00:00,2024-10-17 17:50:00+00:00,8860,8861,8895,0.0028493,0.0028839924880940475,0.0028839924880940475,0.0027799150238119047,stop,-1.2029326788217443,-1.2829326788217443,35
1MBABYDOGE,long,2024-10-17 18:00:00+00:00,2024-10-17 18:05:00+00:00,2024-10-17 19:05:00+00:00,8897,8898,8910,0.0029083,0.0028712372255706125,0.0028712372255706125,0.0029827255488587743,stop,-1.2743793428940386,-1.3543793428940387,13
1MBABYDOGE,long,2024-10-18 14:20:00+00:00,2024-10-18 14:25:00+00:00,2024-10-18 14:45:00+00:00,9141,9142,9146,0.0030535,0.003120799004102759,0.0030197004979486204,0.003120799004102759,take_profit,2.203995549459936,2.123995549459936,5
1MBABYDOGE,short,2024-10-20 14:35:00+00:00,2024-10-20 14:40:00+00:00,2024-10-20 15:55:00+00:00,9720,9721,9736,0.0031738,0.003199232620679119,0.003199232620679119,0.003122334758641762,stop,-0.7949600324380302,-0.8749600324380302,16
1MBABYDOGE,short,2024-10-21 14:45:00+00:00,2024-10-21 14:50:00+00:00,2024-10-21 15:30:00+00:00,10010,10011,10019,0.003097,0.00312810836271794,0.00312810836271794,0.0030350832745641206,stop,-0.9944784230847659,-1.074478423084766,9
